אניעם,א-7,קצרין 7,8030092,38030092,30092,8060092,38030092,60092,20,2,8,0
חיננית,ג-10,שומרון 118,8031058,38031058,31058,8061058,38031058,61058,90,2,8,0
אבני חפץ,ג-4,שומרון 120,8030088,38030088,30088,8060088,38030088,60088,90,2,8,0
אלפי מנשה,ג-7,שומרון 121,8030089,38030089,30089,8060089,38030089,60089,90,3,8,0
אריאל,ג-6,שומרון 122,8030090,38030090,30090,8060090,38030090,60090,90,3,8,0
בית אריה,ה-3,שומרון 123,8030149,38030149,30149,8060149,38030149,60149,90,2,8,0
חלמיש (נוה צוף),ה-15,שומרון 124,8031059,38031059,31059,8061059,38031059,61059,90,2,8,0
עלי,ה-16,שומרון 125,8031060,38031060,31060,8061060,38031060,61060,90,2,8,0
בית אל,ה-2,שומרון 126,8030152,38030152,30152,8060152,38030152,60152,90,2,8,0
גבעון החדשה,ה-17,שומרון 127,8031082,38031082,31082,8061082,38031082,61082,90,3,8,0
גבעת השלשה,ו-6,שפלה 168,8030079,38030079,30079,8060079,38030079,60079,90,5,8,0
אלעד,ו-5,שפלה 169,8030081,38030081,30081,8060081,38030081,60081,90,4,8,0
עינת,ו-32,שפלה 170,8031086,38031086,31086,8061086,38031086,61086,90,4,8,0
מחנה נחשונים; אוגדה 340 (ליד ראש העין),ו-26,שפלה 171,8031080,38031080,31080,8061080,38031080,61080,90,1,8,1
"נתב""ג",ו-19,שפלה 172,8031062,38031062,31062,8061062,38031062,61062,90,3,8,0
אירפורט סיטי,ו-10,שפלה 173,8030082,38030082,30082,8060082,38030082,60082,90,3,8,0
אחיעזר,ו-33,שפלה 174,8031087,38031087,31087,8061087,38031087,61087,90,3,8,0
גן שורק,ו-14,שפלה 175,8030072,38030072,30072,8060072,38030072,60072,90,5,8,0
"מחנה בה""ד 7",ו-29,שפלה 177,8031077,38031077,31077,8061077,38031077,61077,90,1,8,1
באר יעקב,ו-13,שפלה 178,8030074,38030074,30074,8060074,38030074,60074,90,4,8,0
אחיסמך,ו-31,שפלה 179,8031085,38031085,31085,8061085,38031085,61085,90,4,8,0
"רמלה (פקע""ר)",ו-27,שפלה 180,8031081,38031081,31081,8061081,38031081,61081,90,1,8,1
גמזו,ו-12,שפלה 181,8030087,38030087,30087,8060087,38030087,60087,90,5,8,0
גבעת ברנר,ו-16,שפלה 182,8030076,38030076,30076,8060076,38030076,60076,90,5,8,0
בית חנן,ו-30,שפלה 183,8031084,38031084,31084,8061084,38031084,61084,90,4,8,0
אזור תעשייה בילו,ו-15,שפלה 184,8030073,38030073,30073,8060073,38030073,60073,90,3,8,0
מחנה ליפקין אוגדה 98 (מחנה בילו) ,ו-25,שפלה 185,8031078,38031078,31078,8061078,38031078,61078,90,1,8,1
אביחיל,ד-10,שרון 138,8030144,38030144,30144,8060144,38030144,60144,90,5,8,0
גבעת חן,ו-2,שרון 140,8030083,38030083,30083,8060083,38030083,60083,90,5,8,0
גן חיים,ו-1,שרון 141,8030086,38030086,30086,8060086,38030086,60086,90,4,8,0
אבן יהודה,ד-15,שרון 142,8031089,38031089,31089,8061089,38031089,61089,90,3,8,0
אורנית,ו-3,שרון 143,8030085,38030085,30085,8060085,38030085,60085,90,4,8,0
אום אל ראנם (סמוך לשיבלי),ב-24,תבור 95,8030130,38030130,30130,8060130,38030130,60130,60,3,8,0
אילניה,ב-34,תבור 96,8031051,38031051,31051,8061051,38031051,61051,60,2,8,0
אלומות,א-15,תבור 98,8030121,38030121,30121,8060121,38030121,60121,60,2,8,0
